Stack,Parent tags,Child tags,Time tag,Type tag,Difficulty Level,Question Description,Solution,Testing - Is the question correct in terms of spelling and grammar? ,Testing - Unambiguous Statement?,Testing - Is solution provided is correct?,"Is the question tagging (topic, time, difficulty level) correct? ",Sign-off Given by? ,Approved by Internal tester,"Comments, if any (By Tester) ",Migrated onto Levelup?,Updated after review,Reviewed by Instructor/PI?,Reason for rejection,Updated after review
Node,Node Intermediate,Mongo Advance  Queries,1 min,Implementation,Medium,How do you perform a wildcard search in MongoDB? HINT: Use $regex operator,"To perform a wildcard search in MongoDB, you can use regular expressions with the $regex operator. Here's an example query:

db.collection.find({ field: { $regex: /pattern/ } })

In this query, field is the name of the field you want to search, and pattern is the regular expression pattern you want to match. The $regex operator matches any string that contains the specified pattern.

For example, to find all documents in a collection where the name field contains the string ""John"", you can use the following query:

db.users.find({ name: { $regex: /John/ } })

This will return all documents where the name field contains the string ""John"", such as ""John Smith"", ""John Doe"", etc.",Yes,Yes,Yes,Yes,Mahesh,Yes,,,,Approved,,
Node,Node Intermediate,Mongo Aggregations,1 min,Implementation,Low,How do you use the $match operator in a MongoDB aggregation pipeline to find all documents in a collection where the age field is greater than or equal to 18?,"The $match operator is used in the MongoDB aggregation pipeline to filter and select documents based on specified conditions. Here's the basic syntax for using $match:

db.collection.aggregate([
  { $match: { <query> } }
])
For example, to find all documents in a collection where the age field is greater than or equal to 18, you can use the following aggregation pipeline:


db.users.aggregate([
  { $match: { age: { $gte: 18 } } }
])

This will return all documents where the age field is greater than or equal to 18.


",Yes,Yes,Yes,Yes,Mahesh,Yes,its difficulty level should be low and it will take mostly 1 min ,,Yes,Rejected,It's child tag should be mongodb Aggregation,Yes
Node,Node Intermediate,Mongo Aggregations,1 min,Implementation,Low,"How do you use the $match operator in a MongoDB aggregation pipeline to first filter the documents where age is greater than or equal to 18, and then apply a second filter to select only documents where the name field contains the string ""John"".","You can use multiple $match operators in an aggregation pipeline to apply multiple filters. In this case, MongoDB applies the filters in the order they appear in the pipeline. For example:

db.users.aggregate([
  { $match: { age: { $gte: 18 } } },
  { $match: { name: { $regex: /John/ } } }
])",Yes,Yes,Yes,Yes,,Yes,,,,,,
Node,Node Intermediate,Mongo Advance  Queries,1 min,Implementation,Low,How do you sort the results of a MongoDB query in descending order?,"db.users.find().sort({ age: -1 })
db.users.find().sort({ age: -1, name: 1 })
",Yes,Yes,Yes,Yes,Mahesh,Yes,implementation type question because students would be know we can use this operator for this query but i dont think all of them know the syntax for that operator,,Yes,Approved,,
Node,Node Intermediate,Mongo Advance  Queries,1 min,Implementation,Low,How do you limit the number of results returned in a MongoDB query?,"db.users.find().limit(10)
db.users.find({ age: { $gte: 18 } }).sort({ age: -1 }).limit(10)
",Yes,Yes,Yes,Yes,Mahesh,Yes,implementation type question because students would be know we can use this operator for this query but i dont think all of them know the syntax for that operator,,Yes,Approved,,
Node,Node Intermediate,Mongo Advance  Queries,1 min,Implementation,Low,How do you use the $in operator in a MongoDB query?,"The $in operator in MongoDB is used to find documents where the value of a field matches any value in a specified array. Here's the basic syntax for using $in:

db.collection.find({ field: { $in: [value1, value2, ...] } })
",Yes,Yes,Yes,Yes,Mahesh,Yes,its difficulty level should be low and it will take mostly 1 min and its implementation question,,Yes,Approved,,
Node,Node Intermediate,Mongo Advance  Queries,1 min,Implementation,Medium,"How do you use the $regex operator in a MongoDB query to return all documents in the users collection where the name field starts with ""J"".","The $regex operator in MongoDB is used to find documents where the value of a field matches a specified regular expression pattern. Here's the basic syntax for using $regex:

db.collection.find({ field: { $regex: /pattern/ } })

For example, to find all documents in a collection named users where the name field starts with ""J"", you can use the following query:

db.users.find({ name: { $regex: /^J/ } })
This will return all documents in the users collection where the name field starts with ""J"".",Yes,Yes,Yes,Yes,Mahesh,Yes,implementation type question because students would be know we can use this operator for this query but i dont think all of them know the syntax for that operator,,Yes,Approved,,
Node,Node Intermediate,Mongo Advance  Queries,1 min,Implementation,Medium,How do you perform a text search in MongoDB?,"To perform a text search in MongoDB, you can use the $text operator in a query. Here's the basic syntax for using $text:

db.collection.find({ $text: { $search: ""search string"" } })
In this syntax, collection is the name of the collection you want to search in, and ""search string"" is the text you want to search for. The $text operator returns all documents that contain the specified text in any field that has been indexed for text search.",Yes,Yes,Yes,Yes,Mahesh,Yes,implementation type question,,Yes,Rejected,,
Node,Node Intermediate,Mongo Aggregations,1 min,Implementation,Medium,How do you use the $group operator in a MongoDB aggregation pipeline? Use code to return a list of documents that show the total count of each category in the products collection.,"The $group operator in MongoDB is used to group documents by a specified key and perform aggregate operations on the grouped data. Here's the basic syntax for using $group in an aggregation pipeline:

db.collection.aggregate([
  { $group: {
      _id: ""group by field"",
      newField: { $operation: ""$field"" },
      ...
    }
  }
])
In this syntax, collection is the name of the collection you want to aggregate, and _id is the field that you want to group by. You can specify the _id field as a constant value, an expression, or a combination of fields.

You can also use $group to perform various aggregate operations on the grouped data, such as calculating the sum, average, minimum, maximum, or count of a field. To perform an operation, you can use one of the aggregation operators, such as $sum, $avg, $min, $max, or $count. For example, to group documents by the category field and calculate the total count of each category, you can use the following query:

db.products.aggregate([
  { $group: {
      _id: ""$category"",
      count: { $sum: 1 }
    }
  }
])

This will return a list of documents that show the total count of each category in the products collection.",Yes,Yes,Yes,Yes,Mahesh,Yes,implementation type question,,Yes,Rejected,It's child tag should be mongodb Aggregation,Yes
Node,Node Intermediate,Mongo Aggregations,3 min,Implementation,High,"How do you use the $project operator in a MongoDB aggregation pipeline? suppose you have a collection of documents with the following structure:
{
  ""_id"": ObjectId(""123456789012345678901234""),
  ""name"": ""Alice"",
  ""age"": 30,
  ""gender"": ""female""
}

If you want to include only the name and age fields in the output, how can you do it? 
How would you add a new field called age_group based on the age field,
which checks whether the age field is less than 18, and returns the string ""minor"" if true, or ""adult"" if false.","The $project operator in a MongoDB aggregation pipeline is used to reshape documents, to include, exclude or rename fields, and to create new computed fields.

The basic syntax of $project is as follows:


{
  $project: {
    <field1>: <expression1>,
    <field2>: <expression2>,
    ...
  }
}
Here, <field1> and <field2> are the names of the fields that you want to include or exclude from the output, and <expression1> and <expression2> are the expressions that you use to transform or compute values for those fields.

For example, suppose you have a collection of documents with the following structure:


{
  ""_id"": ObjectId(""123456789012345678901234""),
  ""name"": ""Alice"",
  ""age"": 30,
  ""gender"": ""female""
}
If you want to include only the name and age fields in the output, you can use the following $project stage in your aggregation pipeline:


{
  $project: {
    _id: 0,
    name: 1,
    age: 1
  }
}
Here, _id: 0 means that the _id field should be excluded from the output, while name: 1 and age: 1 mean that the name and age fields should be included in the output.

You can also use expressions to transform or compute values for fields. For example, if you want to add a new field called age_group based on the age field, you can use the following $project stage:


{
  $project: {
    _id: 0,
    name: 1,
    age: 1,
    age_group: {
      $cond: {
        if: { $lt: [""$age"", 18] },
        then: ""minor"",
        else: ""adult""
      }
    }
  }
}
Here, $cond is a conditional expression that checks whether the age field is less than 18, and returns the string ""minor"" if true, or ""adult"" if false. The result of this expression is assigned to a new field called age_group.

Note that the $project stage can also be used to rename fields using the syntax <existing_field>: <new_field_name>. For example, you can rename the name field to full_name using the following $project stage:


{
  $project: {
    _id: 0,
    full_name: ""$name"",
    age: 1
  }
}
Here, full_name: ""$name"" means that the full_name field should have the same value as the name field, but with a new name.",Yes,Yes,Yes,Yes,Mahesh,Yes,implementation type question,,Yes,Rejected,It's child tag should be mongodb Aggregation,Yes
