questionType,contentBody,intAnswer,prepTime,floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel
mcsc,The introduction of reviews and inspections has often failed as a process improvement action. Identify the THREE most important measures that should be taken to reduce the risk that this test process improvement will fail. (for 2 out of 3 correct),,10,,,,Process ownership and experienced moderators who drive the inspection process.,,Process ownership and experienced moderators who drive the inspection process.,Management support, Training of those involved,"A,B & C",,6462009e5dba6bad7fae2013,0
mcsc,"Risks should be constantly reviewed. Given the current situation, which one of the following factors is most likely to lead to a revised view of product risk?",,10,,,," The concerns over the user interface raises the likelihood of a risk in that area and increases
the amount of test effort needed for the user interface, thereby limiting the test effort available for
other parts of the test management tool.",,The concerns over the user interface may lead to changes to the interface which cannot be implemented by development in time for the second test iteration.," The concerns over the user interface raises the likelihood of a risk in that area and increases
the amount of test effort needed for the user interface, thereby limiting the test effort available for
other parts of the test management tool.", The delivery of the application without the interface changes may upset the user community.,"
 

 The method used for test estimation is not accurate enough and hence the money spent on
testing exceeded its budget.",,6462009e5dba6bad7fae2013,0
mcsc,In which process client will be along with the project team,,10,,,,Rad and Jad,,Rad and Jad, Fast and Rad,Fast and Jad, Fast,,6462009e5dba6bad7fae2013,0
mcsc,Defect status report does not include:,,10,,,,Scope,,severity of defect,Type of defect,Retest Date,Scope,,6462009e5dba6bad7fae2013,0
mcsc,Which software testing metric focuses on defect that are left undetected by the team and found by the user,,10,,,,Defect deficiency,,Defect Leakage,Defect deficiency, Defect severity index, Defect removal Efficiency,,6462009e5dba6bad7fae2013,0
mcsc,"Part of the testing strategy indicates that you are going to be using systematic test design techniques. Your manager has asked that you present the main advantages of using these techniques at the next board meeting. Identify THREE main benefits of using systematic test design techniques within this company. (for 2 out of 3 correct)  i) ""A. Easier to quickly adapt testing to changing requirements compared to experienced-based
testing""    ii) Targets certain types of faults.  iii) Will guide experienced testers to find defects iv)Provides a way to differentiate depth of testing based on product risks by using different techniques v) More enhanced documentation and therefore higher repeatability and reproducibility vi) Will make non-systematic testing redundant vii) Will reduce the need for early reviews",,10,,,," ii,iv & v",," ii,iv & v"," i, ii & iii"," iii, iv & v", none,,6462009e5dba6bad7fae2013,0
mcsc,"""A number of options have been suggested for the level of independence to be employed for the testing on the next project, and are shown below.
 
 i.External test specialists perform non-functional testing.
 
 ii.Testing is outsourced.
 
 iii.Testing is carried out by the developer.
 
 iv.A separate test team carries out the testing.
 
 v.Testing is performed by the business.
 
 vi.Testing is performed by a different developer.
 
 Which of the following orders the above in a correct order of independence?""",,10,,,,"ii, v, i, iii",,"i, ii, iv, vi","ii, i, v, vi","ii, v, i, iii","i, iv, v, vi",,6462009e5dba6bad7fae2013,0
mcsc,"You are about to release a test progress report to a senior manager, who is not a test specialist. Which of the following topics should NOT be included in the test progress report?",,10,,,,Detailed overview of the risk-based test approach being used to ensure the exit criteria to be achieved,,Product risks which have been mitigated and those which are outstanding.,Recommendations for taking controlling actions,Status compared against the started exit criteria,Detailed overview of the risk-based test approach being used to ensure the exit criteria to be achieved,,6462009e5dba6bad7fae2013,0
mcsc,"Match every stage of the software Development Life cycle with the Testing Life cycle:
 i. Hi-level design a Unit tests
 ii. Code b Acceptance tests
 iii. Low-level design c System tests
 iv. Business requirements d Integration tests",,10,,,,"i-c , ii-a , iii-d , iv-b",,"i-c , ii-a , iii-d , iv-b","i-c , ii-d , iii-a , iv-b","i-b , ii-a , iii-d , iv-c","i-c , ii-a , iii-d , iv-b",,6462009e5dba6bad7fae2013,0
mcsc,Which of the following is an example of an Operational Testing,,10,,,,"Verifying file labeling and protection functions are working properly, and determine system can run using document",,Attempted access without a proper password to the on­line data entry and display transactions (notification to the user of invalid authentication) will be tested,Testing that ignores the internal parts and focus on the output is as per requirement or not,Testing performed to evaluate whether systems or components pass data and control correctly to one another set,"Verifying file labeling and protection functions are working properly, and determine system can run using document",,6462009e5dba6bad7fae2013,0
