questionType,contentBody,intAnswer,prepTime,floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel
mcsc,"If Web service operation has both input and output messages, then the operation is",,10,,,,Request Response Operation,,One Way operation,Request Response Operation,Solicit response operation,Notification Operation,,,0
mcsc,The basic Web Services platform is combination of _____ and _______.,,10,,,,XML + HTTP,,CSS + HTTP,XML + HTTP,XML + HTML,CSS + JAVA,,,0
mcsc,"A valid XML document means:
 (i) The document must be well formed
 (ii) The document must apply to the rules of the DTD",,10,,,,Both i and ii are true,,Both i and ii are true,Only i is true,Only ii is true,None of the above,,,0
mcsc,Select the Right Syntax to fetch the response code from a request.,,10,,,,get.getResponseCode();,,get.getresponsecode();,getResponseCode();,get.ResponseCode();,get.getResponseCode();,,,0
mcsc,Which testing will cover security aspects of the services created to make sure that appropriate security policies are enforced on relevant services according to enterprise security architectures.,,10,,,,Security testing,,Data abstraction or data service level,Component testing,Governance testing,Security testing,,,0
mcsc,"Assume you get the following response for a request:
 
 {
 
  ""timestamp"": 1491748899439,
 
  ""status"": 401
 
 }",,10,,,,"var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", jsonData.timestamp);",,"var jsonData = JSON.parse(responseBody); postman.setGlobalVariable(""token"", jsonData.timestamp);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", jsonData.timestamp);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", timestamp.jsonData);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""tokens"", timestamp.jsonData);",,,0
mcsc,"When You run a request, where can you find the Response Status.",,10,,,,Header,,RAW,Header,XML,SOAP,,,0
mcsc,Which of the following is correctly defining web service interoperability?,,10,,,,All of the above.,,Web services allow various applications to talk to each other and share data and services among themselves.,Other applications can also use the web services,Web services are used to make the application platform and technology independent.,All of the above.,,,0
mcsc,Choose the correct option with refernce to Rest API,,10,,,,The default media type for request and response is application/json,,There is no default media type for both request and response,The default media type for request and response is application/json,"The default media type foe request is application/json, while there is not media type for response","The default media type foe response is application/json, while there is not media type for request",,,0
mcsc,401 HTTP Response Code indicates,,10,,,,error indicates that you need to perform authentication before accessing the resource.,,Code indicates that the request was successful.,error indicates that you need to perform authentication before accessing the resource.,Occurs due to some error on Server side,"It happens especially with POST and PUT requests, when the data does not pass validation, or is in the wrong format",,,0
mcsc,Which of the following protocol is used by RESTful web services as a medium of communication between client and server?,,10,,,,HTTP,,HTTP,FTP,SOAP,XML,,,0
mcsc,What is valid for Workspace in Postman?,,10,,,,All of these,,Postman workspaces allow you to organize and collaborate on API projects with your team and personal use.,We can create multiple workspaces in Postman.,My workspace is the default workspace in Postman.,All of these,,,0
mcsc,"Which of the following HTTP Status code means NOT FOUND, states that method is not available?",,10,,,,404,,400,401,404,409,,,0
mcsc,What is valid for Collection runner in Postman?,,10,,,,All of these.,,The Collection Runner allows you to run sets of requests in a specified sequence.,"The Collection Runner will log your request test results, and your scripts can pass data between requests as well as altering the request workflow.","You can run collections against specific environments, and can pass data files into a run.",All of these.,,,0
mcsc,"Identify the response code for the below scenraio:
 It happens especially with POST and PUT requests, when the data does not pass validation, or is in the wrong format.",,10,,,,400,,400,401,404,405,,,0
mcsc,"Pick the variable scope in Postman which are scoped to a single request or collection run, and are no longer available when the run is complete.",,10,,,,Local variables,,Global variables,Collection variables,& Environment variable,Local variables,,,0
